issn,count,cited,citation
1525-3163,3646,594,1391
0003-4975,3626,2098,9869
"0013-4651,1945-7111",3622,2889,16195
"2470-0010,2470-0029",3605,2697,11542
"1533-4880,1533-4899",3599,1832,5961
0096-3003,3590,2190,7394
"1530-6984,1530-6992",3589,3456,78274
"1759-9660,1759-9679",3588,2880,12796
1674-1056,3519,1590,3861
0262-4079,3506,144,184
"0006-4971,1528-0020",3499,2785,38950
0144-8617,3497,3291,31343
"2044-6055,2044-6055",3488,2279,9291
"0028-3878,1526-632X",3487,2095,19687
"0022-1767,1550-6606",3480,2995,24083
2053-2733,3475,199,2051
2212-8271,3458,1811,5220
0022-510X,3455,1424,5830
"1899-3192,2392-0041",3450,7,7
1072-7515,3438,814,5784
1743-9191,3424,873,3940
1466-8033,3418,3030,22281
"0018-9464,1941-0069",3383,2185,7774
0960-894X,3375,2791,13634
1063-4584,3375,930,6175
1553-4650,3371,582,2697
2296-4185,3368,316,1657
0029-2001,3365,534,1019
"0017-5749,1468-3288",3361,840,9532
0376-8716,3355,1210,7309
1364-0321,3349,3202,49250
0017-9310,3337,2810,20054
0040-4020,3294,2848,16189
0008-6223,3267,2840,34141
1201-9712,3263,819,4012
1755-375X,3258,598,2160
0304-8853,3235,2569,15790
0168-9002,3235,2038,7700
"1866-6280,1866-6299",3232,1983,6151
"0031-4005,1098-4275",3227,1892,17414
1662-5161,3224,1942,11384
"1144-0546,1369-9261",3220,2801,17423
"0066-4804,1098-6596",3217,2545,15943
0264-410X,3196,2678,17117
0021-9673,3195,2852,21805
0090-8258,3177,1152,8747
1529-9430,3148,982,5380
1742-6596,3127,1256,2731
0196-8904,3126,2973,33532
1660-4601,3079,2267,9647
1443-9506,3073,527,1854
0002-9149,3070,1633,10192
0040-6090,3056,2349,10467
1937-8688,3036,452,709
"2180-3722,0127-9696",3032,264,358
"0022-538X,1098-5514",3026,2540,16634
1558-6766,3019,1,1
1616-301X,3007,2379,41300
"0013-5194,1350-911X",3001,1864,6545
"1078-0432,1557-3265",2988,1936,21170
2278-0181,2983,27,30
1975-4701,2980,627,1022
1471-2407,2977,2451,12780
"0897-4756,1520-5002",2975,2836,48138
"0957-4484,1361-6528",2963,2359,13413
2212-5671,2947,759,1267
"0887-0624,1520-5029",2946,2451,14524
"0024-9297,1520-5835",2938,2771,29506
"1744-683X,1744-6848",2936,2621,20173
0891-5849,2924,1222,10867
0022-5223,2921,1811,11213
0029-7844,2915,1057,7628
2308-8877,2901,4,4
"0022-3727,1361-6463",2898,2169,10171
2212-4403,2882,584,1920
2050-084X,2878,2368,23207
0869-5652,2875,57,98
1083-8791,2873,985,6755
0022-247X,2872,1747,5400
0003-4266,2870,122,295
1878-8750,2866,1585,5882
1940-087X,2851,1045,1839
2158-3226,2850,1772,6072
0151-9638,2832,220,383
0030-4018,2825,2124,8447
0956-5663,2824,2713,39910
0022-202X,2817,1156,9136
0828-282X,2807,776,4571
"2469-9926,2469-9934",2806,1864,5461
1053-8119,2800,2612,30638
0261-5614,2796,581,4114
1049-2275,2788,1189,2789
1051-0443,2777,726,3100
"1438-9029,1438-9010",2767,161,409
0361-1981,2764,1117,2507
0031-9406,2754,201,743
2071-1050,2741,1970,7635
0960-7692,2735,688,4620
0378-4371,2735,2143,10640
"0022-2461,1573-4803",2734,2208,10421
"1179-3163,1179-3155",2718,1045,2491
0761-8425,2705,183,354
0022-2860,2704,2150,8628
0257-8972,2703,2228,11691
0039-9140,2676,2470,19351
0960-1481,2672,2453,20670
"1101-1262,1464-360X",2665,395,1592
2211-1247,2632,2430,29472
1471-2334,2628,1635,8324
"2050-750X,2050-7518",2618,2420,22331
0032-3861,2616,2292,16303
1935-2735,2609,2184,15833
0378-7788,2609,2328,18555
1364-8535,2608,1303,9814
2231-5381,2608,161,232
"0175-7598,1432-0614",2606,2160,13228
1071-9164,2605,443,2301
0748-7983,2605,668,3738
1552-5783,2600,1965,9844
"0028-4793,1533-4406",2599,2238,116827
0928-4931,2596,2420,18821
0022-0302,2593,2125,10605
2320-5407,2590,16,17
"1618-2642,1618-2650",2588,1995,11697
0022-4804,2586,1285,5508
0370-2693,2586,2148,21179
0009-2614,2586,1892,7930
1365-182X,2574,374,2155
0141-8130,2570,2246,14915
2167-8359,2567,1737,7492
"0953-8984,1361-648X",2567,1778,8003
0378-1119,2566,2062,10124
0378-5173,2562,2188,15160
"0016-5751,1438-8804",2557,156,377
1680-7375,2557,897,1717
"0021-972X,1945-7197",2556,2153,20522
1434-193X,2528,2122,12760
"1792-0981,1792-1015",2522,452,593
0167-7322,2519,2084,14885
0960-9822,2516,1875,20181
1367-2630,2512,2148,15205
"0003-2654,1364-5528",2508,2291,17551
0191-8869,2507,1463,6548
0022-3476,2506,1438,8857
"1051-8223,1558-2515",2504,1509,5628
0263-8223,2502,2255,16920
0929-693X,2497,347,589
1553-7404,2484,2116,21228
"0947-8396,1432-0630",2480,1560,5299
1352-2310,2477,2158,14095
2219-2859,2475,65,70
0022-1694,2474,2137,14112
0927-7757,2468,2083,11928
0248-8663,2467,299,783
1424-3903,2466,327,1222
1875-3892,2461,1034,2254
1934-1482,2457,419,1416
0021-9797,2455,2298,19167
1680-7324,2453,2096,13442
"0009-7322,1524-4539",2440,1618,27603
"1388-6150,1588-2926",2438,1823,6849
1308-2140,2437,23,23
0920-9964,2432,1204,8743
0090-4295,2427,1309,6402
0306-4522,2427,2106,13607
1000-0933,2418,42,44
1040-6182,2417,1832,8429
2072-4292,2416,1991,11369
1948-7185,2414,2230,35569
"0587-4246,1898-794X",2414,879,1780
2169-897X,2414,1863,9716
"2279-0861,2279-0853",2410,115,134
"1355-6037,1468-201X",2408,822,5483
"1759-9954,1759-9962",2404,2255,23696
"1380-7501,1573-7721",2404,1078,2802
0223-5234,2393,2246,17919
1664-3224,2391,1628,14096
0304-3894,2390,2233,24540
"2470-0045,2470-0053",2389,1394,3460
0191-2917,2381,1196,3412
"1741-427X,1741-4288",2381,1537,4492
1877-0657,2381,199,592
"0295-5075,1286-4854",2378,1710,7819
1590-8658,2377,577,2702
1613-6810,2374,1796,23723
0142-9612,2372,2279,38252
"1569-8041,0923-7534",2372,469,4891
"2155-5435,2155-5435",2372,2292,39705
"2041-6520,2041-6539",2370,2298,37815
0264-1275,2368,1911,7700
0376-7388,2367,2206,27194
2169-9380,2363,1783,9939
"1528-7483,1528-7505",2363,2094,16340
1938-6478,2359,37,41
1120-1797,2357,481,1799
0003-9993,2353,872,5498
"1021-335X,1791-2431",2352,739,1100
0196-0644,2336,596,3303
"0929-6212,1572-834X",2334,1123,3417
0168-1656,2332,1033,5352
"1058-4838,1537-6591",2322,1737,16349
0020-0255,2320,2032,19676
"0022-2623,1520-4804",2303,2138,23592
1756-0500,2301,1541,4975
1996-1073,2285,1729,7570
1359-6454,2284,2045,21900
0735-6757,2272,1224,3930
"0278-0046,1557-9948",2270,2090,30807
1553-7374,2261,1938,19841
0168-8227,2256,721,4744
0022-3115,2251,1803,9151
"0361-5235,1543-186X",2249,1334,4406
0043-1354,2249,2081,24379
1474-6670,2248,878,1643
0254-0584,2245,1856,8457
"1068-9265,1534-4681",2245,1725,10182
"0236-5731,1588-2780",2244,1271,3287
"0006-2960,1520-4995",2240,1924,10950
2320-6071,2239,117,150
0926-6690,2238,1956,13041
0304-3940,2224,1736,7869
"0556-2813,1089-490X",2223,2029,16331
2083-9480,2219,1301,4588
0022-2313,2216,1915,11384
2231-0614,2210,264,405
1598-4877,2210,255,389
0041-1345,2210,1227,3036
1532-429X,2205,535,2628
0927-7765,2199,2006,15284
1434-1948,2198,1632,7838
"1435-7402,2192-5674",2197,4,4
0747-5632,2192,1907,13627
0023-6438,2190,1930,10950
0895-2477,2188,1049,2638
0003-2999,2187,1074,6847
0168-583X,2185,1552,5113
0926-3373,2183,2044,39368
"0018-926X,1558-2221",2182,1740,12208
0007-0963,2170,1499,8346
1748-0221,2167,1259,4083
"0018-9545,1939-9359",2163,1611,10857
"0022-1120,1469-7645",2160,1762,10203
"2349-2562,2349-2570",2158,36,39
0032-5910,2156,1857,11886
1525-0016,2153,620,6366
0957-4174,2152,1955,17118
0003-4819,2150,937,12750
0968-0896,2144,1818,9905
1472-6963,2141,1409,5754
2211-8160,2133,201,686
0165-1781,2128,1633,7996
"0167-6369,1573-2959",2128,1505,5322
0378-8741,2121,1786,10313
1745-6215,2115,1254,5272
0021-9991,2111,1670,10705
"1569-9293,1569-9285",2108,696,2237
"1743-9213,1743-9221",2105,46,66
0165-0327,2103,1848,12659
1546-1955,2101,132,330
1756-3305,2100,1645,9867
1662-9779,2094,407,708
1996-1944,2091,1557,7752
"0924-090X,1573-269X",2090,1629,10194
1936-6612,2090,205,406
"0099-2240,1098-5336",2083,1755,10714
0300-9572,2076,941,7729
2046-1402,2067,637,1253
0025-326X,2066,1737,11063
"0885-8993,1941-0107",2053,1926,28719
1475-7516,2053,1869,17656
"0276-7333,1520-6041",2048,1906,15502
"0039-2499,1524-4628",2047,1568,13503
"0012-0472,1439-4413",2046,280,474
0377-2217,2039,1789,13679
0091-3286,2035,933,2407
1359-8368,2020,1901,17564
"1211-8516,2464-8310",2013,561,1071
0031-3025,2007,309,1109
1930-2126,2002,778,1621
"0930-2794,1432-2218",2000,1399,6873
"0918-2918,1349-7235",1999,1009,2249
0014-2999,1995,1691,9215
"0090-0036,1541-0048",1993,1494,10687
"1085-3375,1687-0409",1987,799,1600
1000-9515,1985,480,1049
"0018-9383,1557-9646",1982,1560,8401
0927-0256,1980,1634,8625
"1041-1135,1941-0174",1974,1524,7485
"0194-5998,1097-6817",1972,811,3632
1529-7535,1969,607,2931
"0733-8724,1558-2213",1962,1556,10416
0003-2670,1957,1770,16588
0025-5408,1951,1693,9439
0577-6686,1950,412,660
"1911-2025,1911-2017",1949,232,349
1662-453X,1949,1265,7702
1738-1916,1948,265,390
0278-2391,1934,849,3398
"0361-0926,1532-415X",1932,479,904
"1687-4110,1687-4129",1917,1056,2956
0092-8674,1914,1630,64715
"0374-4884,1976-8524",1910,762,1563
0277-5387,1903,1529,6773
0269-7491,1896,1699,13913
0002-8614,1895,1140,6560
1936-8798,1886,871,7395
0006-8993,1885,1567,8459
0022-0248,1884,1434,5888
0960-8966,1881,410,2071
0885-3924,1879,587,3156
0375-9601,1878,1372,5899
"2047-9956,2047-9964",1876,108,170
0023-852X,1875,1209,5392
0263-2241,1870,1360,6592
"1434-6044,1434-6052",1866,1590,16184
"0013-726X,1438-8812",1866,585,2676
2168-6106,1865,1113,12140
"1099-5129,1532-2092",1862,707,4512
0166-4328,1860,1643,9760
0141-0296,1859,1549,7364
1553-7358,1856,1567,12725
"1751-8113,1751-8121",1854,1275,4966
0270-9139,1850,1250,19067
0168-3659,1847,1527,19178
0012-821X,1847,1614,14091
"0093-3813,1939-9375",1845,1137,3501
0920-3796,1843,1188,4270
0035-3787,1842,197,614
"0095-1137,1098-660X",1840,1355,7897
0190-9622,1839,1169,8315
1877-0517,1836,5,5
1470-2045,1833,1015,26234
"2044-4753,2044-4761",1833,1697,16006
0196-6553,1826,853,3465
0301-2115,1823,896,3287
2072-6643,1822,1452,8973
"1476-7058,1476-4954",1821,848,2109
0301-4797,1819,1481,8870
1569-1993,1812,402,2394
"0962-8452,1471-2954",1810,1609,14692
"1466-5026,1466-5034",1807,1740,12183
"0042-4900,2042-7670",1804,548,1728
0148-396X,1804,911,4908
0049-3848,1802,1097,5213
"1073-449X,1535-4970",1802,1237,14005
1381-6128,1799,1345,6954
"1738-494X,1976-3824",1797,1045,2856
0038-092X,1797,1589,12338
1526-5900,1796,451,3038
"0970-7077,0975-427X",1795,239,354
0009-2509,1794,1541,9590
0921-4526,1794,1286,5281
0362-2436,1791,1142,6285
"1432-8917,1433-075X",1791,440,749
"0022-0949,1477-9145",1789,1073,5773
"1463-9262,1463-9270",1788,1715,27652
0253-2239,1784,103,129
"1070-6631,1089-7666",1779,1368,6414
1946-4274,1778,360,567
"1940-1736,1940-1744",1776,830,1846
"2040-7459,2040-7467",1775,147,187
0008-543X,1774,1297,11487
"0306-3674,1473-0480",1773,785,5582
1471-2105,1772,1290,6443
"0171-6425,1439-1902",1769,147,368
1475-2875,1769,1361,7289
0143-4004,1768,527,2671
1476-4687,1767,201,346
1226-086X,1767,1652,14798
0277-9536,1765,1460,9196
0020-1383,1761,1193,5432
"0009-921X,1528-1132",1759,1011,6049
"1367-4803,1460-2059",1753,1221,10929
"1368-4973,1472-3263",1752,417,1650
1568-4946,1751,1542,11649
1089-7798,1750,1261,6213
0307-904X,1747,1335,6995
0890-8567,1744,362,3814
1314-7552,1743,309,586
2249-7315,1741,12,17
0195-6663,1740,1036,6971
0883-5403,1737,1413,8940
"0022-1899,1537-6613",1733,1389,10990
"0196-2892,1558-0644",1733,1508,13438
"0934-8387,1438-8790",1733,75,165
"1073-5623,1543-1940",1732,1226,4926
0002-7820,1732,1327,7359
0956-7135,1729,1586,12090
0901-5027,1727,583,2388
1867-3880,1725,1153,9661
1369-8001,1724,1437,7802
0009-286X,1722,334,919
1550-7289,1721,637,3932
"0893-7648,1559-1182",1718,1265,6075
"2196-680X,0018-2613",1715,3,3
0736-4679,1714,626,2072
"1535-7163,1538-8514",1713,790,5484
1383-5866,1711,1562,10870
"0921-030X,1573-0840",1711,1136,4043
0043-1397,1709,1297,10362
1878-7649,1708,243,609
"1549-9618,1549-9626",1699,1573,15473
0003-4932,1699,1118,12917
2212-2672,1697,493,2974
"0820-3946,1488-2329",1696,417,1935
1439-4235,1693,1144,7153
1387-1811,1693,1510,10633
1570-0232,1691,1376,6911
0731-7085,1691,1435,9042
1875-5100,1690,1322,6763
1050-4648,1690,1292,7861
0020-7136,1687,1448,13474
0021-9290,1686,1342,7212
"0940-6719,1432-0932",1685,1123,4484
"0361-803X,1546-3141",1682,1319,7561
"1945-0877,1937-9145",1682,498,4959
0302-2838,1680,1091,20052
0925-3467,1680,1303,5967
2320-1770,1679,70,80
"0273-2289,1559-0291",1678,1270,5068
0276-2234,1678,31,34
"0031-9155,1361-6560",1676,1302,7090
"0040-6376,1468-3296",1675,507,3868
0920-5861,1674,1443,12730
"1755-1307,1755-1315",1673,198,324
1536-1276,1671,1416,14225
"0025-729X,1326-5377",1669,641,2339
0261-3069,1666,1643,20745
"0022-3077,1522-1598",1665,1232,4785
"1055-9965,1538-7755",1664,709,4700
0927-0248,1662,1521,14450
"2279-0845,2279-0837",1660,45,47
"1729-4061,1729-3774",1659,46,56
"0894-8755,1520-0442",1659,1490,13261
2045-7758,1654,1202,5375
0963-9969,1646,1434,10744
"1937-5239,0002-8762",1646,48,92
"0004-637X,1538-4357",1646,1599,27191
"1080-6040,1080-6059",1644,1344,13172
0925-8574,1639,1404,7823
"0936-5214,1437-2096",1636,1198,4832
1470-160X,1634,1462,10708
2214-7853,1634,603,1181
"1042-8194,1029-2403",1632,1004,3138
"1059-9495,1544-1024",1631,1014,3329
"1530-437X,1558-1748,2379-9153",1629,1129,4439
"0366-7022,1348-0715",1627,1156,5513
1470-0328,1627,774,4515
2212-0173,1627,660,1537
0301-4215,1625,1417,12694
1353-8020,1623,884,5905
1615-9306,1623,1340,6517
"0915-5287,2187-5626",1621,864,2132
1664-042X,1619,1213,7324
2056-9890,1618,524,891
0378-1127,1617,1338,8377
0966-6362,1616,823,4274
"2193-6331,2193-634X",1616,111,253
0028-646X,1616,1334,14332
"0031-8949,1402-4896",1615,1051,3817
0007-1048,1612,1178,7762
"2168-0485,2168-0485",1612,1469,13925
"0941-3790,1439-4421",1611,128,190
0967-5868,1611,1063,3943
"2192-5682,2192-5690",1609,84,200
0142-0615,1608,1444,11694
"1313-2970,1313-2989",1606,665,1899
"0932-0113,1432-1955",1606,1225,6414
1871-6784,1605,277,1675
0161-6420,1605,1055,11316
0258-7025,1604,92,103
1178-2013,1603,968,4114
0022-460X,1603,1300,6634
0266-4356,1603,504,1539
1643-3750,1599,1008,3063
1262-3636,1599,209,1188
0926-860X,1598,1452,12553
"0938-7994,1432-1084",1593,1225,6919
"0007-0920,1532-1827",1591,1344,12112
"0305-7453,1460-2091",1590,1272,7998
"0340-1766,2190-3824",1586,2,2
"0956-540X,1365-246X",1583,1237,5993
1742-7061,1582,1461,17622
0896-6273,1579,1329,28107
0304-4238,1579,1141,4313
1864-5631,1579,1137,14885
"1614-371X,1614-3744",1578,6,7
"0034-4338,1935-0236",1576,24,26
0306-4549,1576,1077,3710
"0032-0889,1532-2548",1575,1353,12213
2210-2612,1573,710,1338
0041-1337,1571,1117,6551
"1538-4101,1551-4005",1571,1059,4609
0020-1693,1570,1267,5846
0890-5096,1570,793,2445
0014-5793,1569,1245,8400
2214-9996,1568,177,557
0749-6036,1568,1220,5527
0022-3751,1564,1176,7351
"1019-6439,1791-2423",1562,558,927
"0942-2056,1433-7347",1556,1158,5446
"1345-2843,1882-5133",1556,59,66
1052-3057,1555,1089,3914
"1866-7511,1866-7538",1554,669,1586
1572-6657,1553,1267,7199
"0256-307X,1741-3540",1553,564,1213
2152-2650,1551,394,1366
0022-5142,1551,1031,4118
"0937-4477,1434-4726",1551,881,2452
1991-637X,1550,377,566
"2156-5570,2158-107X",1544,137,227
1078-0998,1544,832,5884
0398-7620,1543,84,199
"1351-0711,1470-7926",1540,409,1828
1525-5050,1540,1052,5276
"0903-1936,1399-3003",1538,1108,8640
"0007-0912,1471-6771",1537,806,6283
"1478-6419,1478-6427",1537,1142,3610
0029-5493,1536,973,2957
"1946-6234,1946-6242",1535,819,18642
"1072-3374,1573-8795",1528,260,428
"0022-2151,1748-5460",1526,458,1072
1554-0138,1526,16,16
0926-9959,1525,892,3715
"1353-8047,1475-5785",1522,171,551
"0950-1991,1477-9129",1521,1198,11029
2326-5191,1521,1159,11335
"0093-9994,1939-9367",1520,1152,8239
1662-5102,1517,1073,8139
"0950-9232,1476-5594",1516,1277,8611
"0195-668X,1522-9645",1516,1109,18299
1178-6930,1512,663,1950
1615-4150,1511,1316,14062
1542-3565,1508,903,9169
0319-485X,1504,4,5
0022-3085,1504,1101,7367
1064-8011,1503,978,3864
1522-1946,1502,872,3652
"1535-3893,1535-3907",1497,1354,10575
"1473-0197,1473-0189",1496,1397,15759
0168-1923,1496,567,4202
0022-328X,1495,1224,6278
2041-4889,1495,1298,10856
"2095-2899,2227-5223",1495,740,1675
1525-4135,1495,985,6455
"0002-9637,1476-1645",1494,1084,5435
0003-3022,1493,816,7208
0097-966X,1493,558,1534
"0021-9568,1520-5134",1492,1195,5722
0016-7037,1491,1260,11699
"0149-5992,1935-5548",1491,1201,15699
"0017-9604,1867-1535",1491,2,3
"1070-3632,1608-3350",1490,606,1166
"0002-9939,1088-6826",1490,655,1419
1472-6882,1489,1171,4916
0955-2219,1489,1319,9487
"1388-0764,1572-896X",1489,1128,4859
0377-0427,1486,1093,4526
0024-3795,1485,896,2496
2169-9275,1484,1208,6445
0378-3812,1483,1214,6029
2041-8213,1482,1370,13300
2211-8128,1482,873,2309
0304-3975,1476,775,2124
0304-3835,1473,1331,11546
0148-2963,1470,1159,7116
1810-6285,1469,600,1152
1533-4880,1468,454,1050
1552-4825,1467,1009,4081
"1557-1939,1557-1947",1467,829,2388
1556-0864,1465,795,6716
1566-1199,1460,1308,9012
1743-6095,1460,701,3962
1054-139X,1459,722,5198
0301-5629,1458,729,3684
0021-8693,1457,733,1551
1386-6532,1457,668,3632
"0964-1726,1361-665X",1456,1080,5284
"1939-1404,2151-1535",1454,1199,6524
0044-8486,1454,1225,6905
"0930-7575,1432-0894",1454,1098,5576
"1053-587X,1941-0476",1452,1248,11332
0029-8018,1450,1008,4051
0022-3468,1449,987,4176
"0018-9448,1557-9654",1447,1092,7239
"0033-8419,1527-1315",1446,1134,13339
"0021-9533,1477-9137",1445,1066,7807
0002-9343,1444,806,5014
2261-2424,1444,63,80
0886-3350,1444,743,3676
"0033-2704,1559-1255",1443,9,9
0363-5023,1441,762,2939
"1478-9299,1478-9302",1439,39,99
0165-5876,1439,865,2871
"0941-4355,1433-7339",1438,1022,4232
"0885-8950,1558-0679",1437,1156,10362
2352-1465,1436,451,1003
"0022-2488,1089-7658",1436,875,2662
1614-6832,1436,1113,24468
0197-4580,1435,1082,10736
1307-9581,1430,6,6
1878-6480,1429,8,8
0273-1177,1428,1014,3802
1600-6135,1428,1130,10171
0019-4832,1428,253,537
"0013-7227,1945-7170",1427,1197,7966
"1609-9419,1025-5583",1426,47,67
"1536-1225,1548-5757",1426,1156,6710
"1949-3053,1949-3061",1421,1072,11332
"0163-2116,1573-2568",1421,957,4461
1003-6326,1419,1037,3499
2169-9313,1416,1061,6780
1545-5009,1415,965,4058
2053-1591,1413,833,2321
1548-0992,1409,343,537
"0364-2313,1432-2323",1407,908,4105
"1687-8140,1687-8140",1406,525,1044
"0171-8630,1616-1599",1405,1176,6036
0272-8397,1404,831,2342
"0039-7881,1437-210X",1403,968,4227
"0342-4642,1432-1238",1403,957,7460
1862-6300,1402,877,3326
1769-7255,1400,147,220
"0003-6846,1466-4283",1399,607,1368
0010-938X,1396,1293,12537
0924-4247,1395,1105,5707
"0167-4544,1573-0697",1395,889,3034
"1550-1477,1550-1477",1391,776,2133
"0020-7543,1366-588X",1390,974,4112
1499-4046,1390,252,1225
1083-3668,1390,964,4007
0022-5193,1387,1044,4983
"2313-8416,2313-6286",1386,7,7
"0962-9351,1466-1861",1383,1044,5160
0740-3194,1380,1037,5700
