j,i,d,r
MediSur,1727-897X,25-May-17,Journal not adhering to Best Practice
Journal of Applicable Chemistry,2278-1862,24-May-17,Journal not adhering to Best Practice
Vascular Cell,2045-824X,24-May-17,Has not published enough articles this calendar year
Enhancing the Learner Experience in Higher Education,2041-3122,24-May-17,Inactive (has not published in the last calendar year)
Electronic International Journal of Time Use Research,1860-9937,23-May-17,Journal not adhering to Best Practice
Historische ArchÃ_ologie,1869-4276,23-May-17,Journal not adhering to Best Practice
GÃ¶ttinger Forum fÃ_r Altertumswissenschaft,1437-9082,23-May-17,Journal not adhering to Best Practice
COPAS : Current Objectives of Postgraduate American Studies,1861-6127,23-May-17,Journal not adhering to Best Practice
E&G : Quaternary Science Journal,0424-7116,23-May-17,Journal not adhering to Best Practice
European Journal of Legal Studies,1973-2937,23-May-17,Journal not adhering to Best Practice
Newsletter Archeologia,2036-6353,23-May-17,Journal not adhering to Best Practice
Contexto,0123-6458,23-May-17,Inactive (has not published in the last calendar year)
Materials Today,1369-7021,23-May-17,Journal is no longer Open Access
Revista de Ciencia y TecnologÃ_a,0329-8922,22-May-17,Journal not adhering to Best Practice
Revista EconomÃ_a,0254-4415,22-May-17,Journal not adhering to Best Practice
Revista CientÃ_fica Ciencia MÃ©dica,1817-7433,22-May-17,Journal not adhering to Best Practice
Revista Chilena de Enfermedades Respiratorias,0717-5698,22-May-17,Journal not adhering to Best Practice
Revista de AnÃ¡lisis EconÃ_mico (RAE),0716-5927,22-May-17,Journal not adhering to Best Practice
Bifurcaciones,0718-1132,22-May-17,Journal not adhering to Best Practice
Cuadernos de Historia,0716-1832,22-May-17,Journal not adhering to Best Practice
Nuances: Estudos sobre EducaÃ§Ã£o,1413-9855,22-May-17,Journal not adhering to Best Practice
Central European Conference on Information and Intelligent Systems,1847-2001,21-May-17,Journal not adhering to Best Practice
Glotodidactica,1857-0763,21-May-17,Journal not adhering to Best Practice
Limbaj ÅŸi Context ,1857-4149,21-May-17,Journal not adhering to Best Practice
Summa Humanitatis,1993-8179,20-May-17,Journal not adhering to Best Practice
International Journal of Advances in Management and Economics,2278-3369,19-May-17,Journal not adhering to Best Practice
Global Journal of Medicine and Public Health,2277-9604,19-May-17,Journal not adhering to Best Practice
South Asian Studies : A Research Journal of South Asian Studies,1026-678X,19-May-17,Journal not adhering to Best Practice
Journal of Ayurveda and Holistic Medicine,2321-1563,19-May-17,Journal not adhering to Best Practice
"Trade, Law and Development",0975-3346,19-May-17,Journal not adhering to Best Practice
Ayurpharm : International Journal of Ayurveda and Allied Sciences,2278-4772,19-May-17,Journal not adhering to Best Practice
BVICAM's International Journal of Information Technology,0973-5658,19-May-17,Journal not adhering to Best Practice
Security and Social Order Strategic Studies Journal,2322-3456,19-May-17,Journal not adhering to Best Practice
Educational Research in Medical Sciences,2252-0465,19-May-17,Journal not adhering to Best Practice
European Integration Studies,1822-8402,18-May-17,Journal not adhering to Best Practice
Tallinna Ãœlikooli Eesti Keele ja Kultuuri Instituudi Toimetised,1736-8804,17-May-17,Inactive (has not published in the last calendar year)
Buletinul Academiei de Å_tiinÅ£e a Republicii Moldova: Matematica,1024-7696,17-May-17,Journal not adhering to Best Practice
Materiali in Tehnologije,1580-2949,17-May-17,Journal not adhering to Best Practice
"Hellenic Journal of Music, Education, and Culture",1792-2518,17-May-17,Inactive (has not published in the last calendar year)
The Online Journal of Counselling and Education,2146-8192,16-May-17,Journal not adhering to Best Practice
Revista de GestiÃ_n PÃºblica,0719-1820,16-May-17,Journal not adhering to Best Practice
New Jersey History : Studies in State and Regional History,2151-3619,16-May-17,Inactive (has not published in the last calendar year)
PolÃ_Â_tica y Cultura,0188-7742,16-May-17,Journal not adhering to Best Practice
Dermatology Online Journal,1087-2108,16-May-17,Journal not adhering to Best Practice
International Journal of Evidence Based Coaching and Mentoring,1741-8305,16-May-17,Journal not adhering to Best Practice
Gerais: Revista Interinstitucional de Psicologia,1983-8220,16-May-17,Journal not adhering to Best Practice
Pilgrimages : A Journal of Dorothy Richardson Studies,2050-9502,16-May-17,Journal not adhering to Best Practice
Music Performance Research,755-9219,16-May-17,Inactive (has not published in the last calendar year)
International Journal of Advanced Computer Science and Applications,2156-5570,16-May-17,Suspected editorial misconduct by publisher
International Journal of Advanced Research in Artificial Intelligence,2165-4050,16-May-17,Suspected editorial misconduct by publisher
Revista Colombiana de BiotecnologÃ_a,0123-3475,16-May-17,Journal not adhering to Best Practice
International Journal of Mathematical Sciences & Applications,2230-9888,16-May-17,Suspected editorial misconduct by publisher
International Educational E-Journal,2277-2456,16-May-17,Suspected editorial misconduct by publisher
International Journal of Cyber-Security and Digital Forensics,2305-0012,16-May-17,Suspected editorial misconduct by publisher
Vedic Research International Phytomedicine,2330-0280,16-May-17,Inactive (has not published in the last calendar year)
Electronic Journal of Contemporary Japanese Studies,1476-9158,16-May-17,Journal not adhering to Best Practice
Journal of Physiotherapy & Sports Medicine,2226-9541,16-May-17,Inactive (has not published in the last calendar year)
ESci Journal of Plant Pathology,2306-1650,16-May-17,Suspected editorial misconduct by publisher
Journal of Plant Breeding and Genetics,2308-121X,16-May-17,Suspected editorial misconduct by publisher
Business and Economic Horizons,1804-1205,16-May-17,Suspected editorial misconduct by publisher
Medical and Health Science Journal,1804-1884,16-May-17,Suspected editorial misconduct by publisher
Applied Technologies and Innovations,1804-1191,16-May-17,Suspected editorial misconduct by publisher
"Perspectives of Innovations, Economics and Business", 1804-0519,16-May-17,Suspected editorial misconduct by publisher
Journal of Contemporary European Research,1815-347X,16-May-17,Journal not adhering to Best Practice
American Journal of Humanities and Social Sciences,2329-0781,16-May-17,Suspected editorial misconduct by publisher
European Journal of Cardiovascular Medicine,2042-4884,16-May-17,Suspected editorial misconduct by publisher
International Journal on Theoretical and Applied Research in Mechanical Engineering,2319-3182,16-May-17,Suspected editorial misconduct by publisher
International Journal of Physiotherapy and Research,2321-1822,16-May-17,Suspected editorial misconduct by publisher
International Journal of Anatomy and Research,2321-4287,16-May-17,Suspected editorial misconduct by publisher
COMPUSOFT: International Journal of Advanced Computer Technology,2320-0790,16-May-17,Suspected editorial misconduct by publisher
International Journal of Intelligent Systems and Applications,2074-904X,16-May-17,Suspected editorial misconduct by publisher
International Journal of Modern Education and Computer Science,2075-0161,16-May-17,Suspected editorial misconduct by publisher
International Journal of Information Engineering and Electronic Business,2074-9023,16-May-17,Suspected editorial misconduct by publisher
International Journal of Computer Network and Information Security ,2074-9090,16-May-17,Suspected editorial misconduct by publisher
"International Journal of Image, Graphics and Signal Processing",2074-9074,16-May-17,Suspected editorial misconduct by publisher
International Journal of Information Technology and Computer Science ,2074-9007,16-May-17,Suspected editorial misconduct by publisher
International Journal of Multidisciplinary Sciences and Engineering,2045-7057,16-May-17,Suspected editorial misconduct by publisher
Oriental Journal of Chemistry,0970-020X,16-May-17,Suspected editorial misconduct by publisher
Colloquium Agrariae,1809-8215,16-May-17,Journal not adhering to Best practice
Berkeley Planning Journal,1047-5192,16-May-17,Has not published enough articles this calendar year
Journal of Diversity Management,2157-9512,16-May-17,Has not published enough articles this calendar year
Journal of Service Science,1941-4730,16-May-17,Has not published enough articles this calendar year
"Zitteliana, Series A",1612-412X,16-May-17,Journal not adhering to Best practice
Psychiatria i Psychoterapia,1895-3166,16-May-17,Journal not adhering to Best practice
Decyzje,1733-009,16-May-17,Journal not adhering to Best practice
Teaching English with Technology,1642-1027,16-May-17,Journal not adhering to Best practice
Culture - History - Globalization,1898-7265,16-May-17,Journal not adhering to Best practice
Antrocom: Online Journal of Anthropology,1973-2880,16-May-17,Journal not adhering to Best practice
Dialectologia,2013-2247,16-May-17,Missing OA statement
TÃ_picos. Revista de FilosofÃ_a de Santa Fe,1666-485X,16-May-17,Missing OA statement
UluslararasÄ± Ä°nsan Bilimleri Dergisi,1303-5134,15-May-17,Suspected editorial misconduct by publisher
"Necatibey Faculty of Education, Electronic Journal of Science and Mathematics Education ",1307-6086,15-May-17,Journal not adhering to Best practice
EurAsian Journal of Biosciences,1307-9867,15-May-17,Ceased publishing
Karaelmas Science and Engineering Journal,2146-4987,15-May-17,Journal not adhering to Best practice
Journal of agricultural sciences,1300-7580,15-May-17,Journal not adhering to Best practice
Global media Journal,1309-7601,15-May-17,Journal not adhering to Best practice
Khazar Journal of Humanities and Social Sciences,2223-2613,13-May-17,Journal not adhering to Best practice
Social and Natural Sciences Journal,1804-4158,13-May-17,Suspected editorial misconduct by publisher
European Journal of Business and Economics,1804-5839,13-May-17,Suspected editorial misconduct by publisher
"European Medical, Health and Pharmaceutical Journal",1804-5804,13-May-17,Suspected editorial misconduct by publisher
Journal of Psychology & Clinical Psychiatry,2373-6445,13-May-17,Suspected editorial misconduct by publisher
International Journal of Computer Science and Management Studies,2231-5268,13-May-17,Suspected editorial misconduct by publisher
Advances in Animal and Veterinary Sciences,2307-8316,13-May-17,Suspected editorial misconduct by publisher
Multilingual Education,2191-5059,12-May-17,Ceased publishing
Australian Journal of Business and Management Research ,1839-0846,12-May-17,Suspected editorial misconduct by publisher
Journal of Humanistics and Social Sciences,2009-4612,12-May-17,Ceased publishing
Journal of Modern Biotechnology,2319-6645,12-May-17,Journal not adhering to Best practice
Journal of Fractional Calculus and Applications,2090-5858,12-May-17,Journal not adhering to Best practice
Journal of Local and Global Health Science,2306-0441,12-May-17,Has not published enough articles this calendar year
Cardiologia Croatica,1848-543X,12-May-17,Journal not adhering to Best practice
High Technology Letters,1006-6748,11-May-17,Web site URL no longer works
International Journal of Multimedia and Ubiquitous Engineering,1975-0080,10-May-17,Suspected editorial misconduct by publisher
International Journal of Smart Home,1975-4094,10-May-17,Suspected editorial misconduct by publisher
Journal of Security Engineering,1738-7531,10-May-17,Suspected editorial misconduct by publisher
International Journal of Software Engineering and Its Applications,1738-9984,10-May-17,Suspected editorial misconduct by publisher
"International Journal of u- and e- Service, Science and Technology",2005-4246,10-May-17,Suspected editorial misconduct by publisher
International Journal of Future Generation Communication and Networking,2233-7857,10-May-17,Suspected editorial misconduct by publisher
International Journal of Grid and Distributed Computing,2005-4262,10-May-17,Suspected editorial misconduct by publisher
International Journal of Hybrid Information Technology,1738-9968,10-May-17,Suspected editorial misconduct by publisher
"International Journal of Signal Processing, Image Processing and Pattern Recognition ",2005-4254,10-May-17,Suspected editorial misconduct by publisher
International Journal of Advanced Science and Technology,2005-4238,10-May-17,Suspected editorial misconduct by publisher
International Journal of Security and Its Applications,1738-9976,10-May-17,Suspected editorial misconduct by publisher
"International Journal of Energy, Information and Communications",2093-9655,10-May-17,Suspected editorial misconduct by publisher
Å_urnal FÃ¬ziÄçnih DoslidÅ_enÊ_,1027-4642,10-May-17,Journal not adhering to Best practice
SpringerPlus,2193-1801,10-May-17,Ceased publishing
Journal of Interaction Science,2194-0827,10-May-17,Has not published enough articles this calendar year
Journal of Trauma Management & Outcomes,1752-2897,10-May-17,Ceased publishing
Investigative Genetics,2041-2223,10-May-17,Ceased publishing
Experimental & Translational Stroke Medicine,2040-7378,10-May-17,Ceased publishing
Fibrogenesis & Tissue Repair,1755-1536,10-May-17,Ceased publishing
Annals of Surgical Innovation and Research,1750-1164,10-May-17,Ceased publishing
Biology of Mood & Anxiety Disorders,2045-5380,10-May-17,Ceased publishing
Transplantation Research,2047-1440,10-May-17,Ceased publishing
Degenerative Neurological and Neuromuscular Disease,1179-9900,9-May-17,Suspected editorial misconduct by publisher
Current Biomarker Findings,2230-2492,9-May-17,Suspected editorial misconduct by publisher
Core Evidence,1555-175X,9-May-17,Suspected editorial misconduct by publisher
International Journal of Nanomedicine,1178-2013,9-May-17,Suspected editorial misconduct by publisher
Biosimilars,2230-245X,9-May-17,Ceased publishing
Bulletin of Mathematical Analysis and Applications,1821-1291,9-May-17,Inactive (has not published in the last calendar year)
Indian Journal of Human Genetics,1998-362X,9-May-17,Web site URL no longer works
Interdisciplinary Description of Complex Systems,1334-4684,8-May-17,Journal not adhering to Best practice
Ethnobiology and Conservation,2238-4782,8-May-17,Journal not adhering to Best practice
Variations: Revue Internationale de ThÃ©orie Critique,1968-3960,8-May-17,Journal not adhering to Best practice
International Journal of Computer Science and Communication Networks,2249-5789,8-May-17,Journal not adhering to Best practice
Revista ConexÃ£o UEPG,2238-7552,8-May-17,Journal not adhering to Best practice
Revista DiÃ¡logos do Direito,2316-2112,8-May-17,Journal not adhering to Best practice
Neurology Asia,1823-6138,6-May-17,Journal not adhering to Best practice
"International e-Journal of Science, Medicine & Education",2231-8194,6-May-17,Journal not adhering to Best practice
Journal of Cognitive-Behavioral Psychotherapy and Research,2146-9490,6-May-17,Journal is no longer Open Access
Journal of Institute of Social Sciences,1309-3738,6-May-17,Journal not adhering to Best practice
Journal of Theoretical Educational Science,1308-1659,6-May-17,Journal not adhering to Best practice
International Electronic Journal of Environmental Education,2146-0329,6-May-17,Journal not adhering to Best practice
Sakarya University Journal of Education,2146-7455,6-May-17,Journal not adhering to Best practice
Azerbaijan Journal of Mathematics,2218-6816,6-May-17,Journal not adhering to Best practice
Natura Sloveniae,1580-0814,6-May-17,Journal not adhering to Best practice
International Journal of Integrated Engineering,2229-838X,4-May-17,Journal not adhering to Best practice
Asian Journal of Agriculture and Rural Development,2304-1455,4-May-17,Journal not adhering to Best practice
Research Revolution,2319-300X,3-May-17,Suspected editorial misconduct by publisher
BJSS: Balkan Journal of Social Sciences,1309-9841,2-May-17,Journal not adhering to Best practice
Acta Adriatica,Jan-13,29-Apr-17,Journal not adhering to Best practice
"Aplinkos Tyrimai, InÅ_inerija ir Vadyba",1392-1649,29-Apr-17,Journal not adhering to Best practice
Health Information Science and Systems,2047-2501,28-Apr-17,Journal is no longer Open Access
A Contracorriente,1548-7083,27-Apr-17,Journal not adhering to Best practice
Revista Mexicana de Ciencias AgrÃ_colas,2007-0934,27-Apr-17,Journal not adhering to Best practice
Diaeta,0328-1310,27-Apr-17,Journal not adhering to Best practice
Archaeobios,1996-5214,27-Apr-17,Journal not adhering to Best practice
Medical Science,2321-5291,27-Apr-17,Suspected editorial misconduct by publisher
Identidade!,2178-437X,27-Apr-17,Journal not adhering to Best practice
PsyArt,1088-5870,27-Apr-17,Journal not adhering to Best practice
International Journal of Facility Management,2150-3303,27-Apr-17,Journal not adhering to Best practice
Natural Resources and Environmental Issues,1069-5370,27-Apr-17,Journal not adhering to Best practice
The Electronic Journal of Science Education,1087-3430,27-Apr-17,Journal not adhering to Best practice
The Nordic Journal of Cultural Policy,1403-3216,27-Apr-17,Journal not adhering to Best practice
Bulletin of the Geological Society of Denmark,Nov-97,27-Apr-17,Journal not adhering to Best practice
Anale : Seria Å_tiinÅ£e Economice. TimiÅŸoara,1582-2680,27-Apr-17,Journal not adhering to Best practice
Indonesian Journal of Biotechnology,0853-8654,27-Apr-17,Journal not adhering to Best practice
Animal Reproduction,1806-9614,27-Apr-17,Journal not adhering to Best practice
International Journal of Chemical Sciences,0972-768X,27-Apr-17,Journal not adhering to Best practice
British Journal of Medical Practitioners,1757-8515,27-Apr-17,Journal not adhering to Best practice
International Journal of Pharmaceutical Research and Allied Sciences,2277-3657,27-Apr-17,Journal not adhering to Best practice
Journal of Academia and Industrial Research,2278-5213,26-Apr-17,Suspected editorial misconduct by publisher
Logos,0104-9933,26-Apr-17,Journal not adhering to Best practice
International Journal of Research Studies in Management,2243-7770,26-Apr-17,Suspected editorial misconduct by publisher
International Journal of Research Studies in Language Learning,2243-7754,26-Apr-17,Suspected editorial misconduct by publisher
International Journal of Research Studies in Education,2243-7703,26-Apr-17,Suspected editorial misconduct by publisher
Journal of Economics and Political Economy,2148-8347,26-Apr-17,Suspected editorial misconduct by publisher
Advances in Fixed Point Theory,1927-6303,26-Apr-17,Suspected editorial misconduct by publisher
Cell Medicine,2155-1790,26-Apr-17,Suspected editorial misconduct by publisher
International Journal of Herbal Medicine,2321-2187,26-Apr-17,Suspected editorial misconduct by publisher
Journal of Pharmacognosy and Phytochemistry,2278-4136,26-Apr-17,Suspected editorial misconduct by publisher
Journal of Entomology and Zoology Studies,2320-7078,26-Apr-17,Suspected editorial misconduct by publisher
Journal of Scientific Review,0975-0754,26-Apr-17,Has not published enough articles this calendar year
Dental Follicle : the E Journal Of Dentistry ,2230-9489,26-Apr-17,Inactive (has not published in the last calendar year)
Revista ElectrÃ_nica de EnseÃ±anza de las Ciencias (REEC),1579-1513,26-Apr-17,Journal not adhering to Best practice
International Journal of High Dilution Research,1982-6206,26-Apr-17,Web site URL no longer works
The Journal of Animal and Plant Sciences,1018-7081,26-Apr-17,Journal not adhering to Best practice
Journal of Orthopaedic Case Reports,2250-0685,26-Apr-17,Journal not adhering to Best practice
Pravara Medical Review,0976-0164,26-Apr-17,Journal not adhering to Best practice
International Journal of Research and Reviews in Applied Sciences,2076-7366,26-Apr-17,Journal not adhering to Best practice
e-International Journal of Educational Research,1309-6265ï»¿,25-Apr-17,Journal not adhering to Best practice
Journal of the Society for Musicology in Ireland,1649-7341,24-Apr-17,Has not published enough articles this calendar year
Geonauka,2334-8119,23-Apr-17,Has not published enough articles this calendar year
International Journal for Traffic and Transport Engineering,2217-544X,23-Apr-17,Journal not adhering to Best practice
Poljoprivredna Tehnika,0554-5587,23-Apr-17,Journal not adhering to Best practice
Folia Faunistica Slovaca,1335-7522,22-Apr-17,Journal not adhering to Best practice
Human: Research in Rehabilitation,2232-9935,20-Apr-17,Malicious website
The Biologist (Lima),1816-0719ï»¿,20-Apr-17,Journal not adhering to Best practice
Revista electrÃ_nica SinÃ©ctica,1665-109X,20-Apr-17,Journal not adhering to Best practice
Revista de EconomÃ_a CrÃ_tica,1696-0866,20-Apr-17,Journal not adhering to Best practice
InvestigaciÃ_n EconÃ_mica,0185-1667,20-Apr-17,Journal not adhering to Best practice
Avances en Periodoncia e ImplantologÃ_a Oral,1699-6585,20-Apr-17,Journal not adhering to Best practice
Universidades, 0041-8935,20-Apr-17,Journal not adhering to Best practice
Estudios sobre las Culturas Contemporaneas,1405-2210,20-Apr-17,Journal not adhering to Best practice
NutriciÃ_n Hospitalaria,0212-1611,20-Apr-17,Journal not adhering to Best practice
Herakleion : Revista Interdisciplinar de Historia y ArqueologÃ_a del MediterrÃ¡neo,1988-9100,20-Apr-17,Journal not adhering to Best practice
Cuadernos del Instituto Antonio de Nebrija de Estudios sobre la Universidad,1139-6628,20-Apr-17,Journal not adhering to Best practice
Information & Security,0861-5160,18-Apr-17,Journal not adhering to Best practice
Holistic Approach to Environment,1848-0071,16-Apr-17,Journal not adhering to Best practice
Holon,1848-3518,16-Apr-17,Ceased publishing
CES Medicina,0120-8705,14-Apr-17,Journal not adhering to Best practice
"OnomÃ¡zein: Revista de LingÃ_Ã_stica, FilologÃ_a y TraducciÃ_n",0717-1285,14-Apr-17,Journal not adhering to Best practice
Journal of Emerging Trends in Economics and Management Sciences,2141-7024,14-Apr-17,Suspected editorial misconduct by publisher
International Journal of Educational Research and Technology,0976-4089,13-Apr-17,Suspected editorial misconduct by publisher
International Journal of Management Science and Business Administration,1849-5664,13-Apr-17,Suspected editorial misconduct by publisher
Anales del Sistema Sanitario de Navarra,1137-6627,12-Apr-17,Journal not adhering to Best practice
Logos,0104-9933,12-Apr-17,Journal not adhering to Best practice
EspaÃ§o Plural,1518-4196,12-Apr-17,Journal not adhering to Best practice
Nucleus Animalium,1984-879X,12-Apr-17,Journal not adhering to Best practice
Revista ElectrÃ_nica Complutense de InvestigaciÃ_n en EducaciÃ_n Musical,1698-7454,12-Apr-17,No OA statement
PERI,2175-1811,12-Apr-17,Journal not adhering to Best practice
Chilean Journal of Agricultural Research,0718-5839,12-Apr-17,Journal not adhering to Best practice
Journal fÃ_r Kardiologie,1024-0098,12-Apr-17,Journal not adhering to Best practice
Journal fÃ_r Hypertonie,1028-2327,12-Apr-17,Journal not adhering to Best practice
Tumorboard,2220-4075,12-Apr-17,Journal not adhering to Best practice
Journal fÃ_r Reproduktionsmedizin und Endokrinologie,1810-2107,12-Apr-17,Journal not adhering to Best practice
Journal fÃ_r Gastroenterologische und Hepatologische Erkrankungen,1728-6263,12-Apr-17,Journal not adhering to Best practice
Zeitschrift fÃ_r GefÃ_ÃŸmedizin,1812-9501,12-Apr-17,Journal not adhering to Best practice
"Journal fÃ_r Neurologie, Neurochirurgie und Psychiatrie",1608-1587,12-Apr-17,Journal not adhering to Best practice
The Dawn Journal,2277-1786,12-Apr-17,Journal not adhering to Best practice
Direito PÃºblico,1806-8200,11-Apr-17,Journal not adhering to Best practice
Journal of Case Reports,2231-6809,11-Apr-17,Journal not adhering to Best practice
Colloquium Exactarum,2178-8332,11-Apr-17,Journal not adhering to Best practice
Sigmae,2317-0840,11-Apr-17,Journal not adhering to Best practice
Human Biology Review,2277-4424,11-Apr-17,Journal not adhering to Best practice
Interdisciplinary Journal of Contemporary Research in Business (IJCRB),2073-7122,11-Apr-17,Inactive (has not published in the last calendar year)
Gold Bulletin,2190-7579,10-Apr-17,Journal is no longer Open Access
Marketing Ã¬ MenedÅ_ment InnovacÃ¬j,2218-4511,8-Apr-17,site unstable
Fluminensia,0353-4642,8-Apr-17,Journal not adhering to Best practice
VÃ¬snik NacÃ¬onalÊ_nogo AvÃ¬acÃ¬jnogo UnÃ¬versitetu,1813-1166,8-Apr-17,site not secure
Estudio PrÃ©vio,2182-4339,6-Apr-17,Inactive (has not published in the last calendar year)
Journal of Reports in Pharmaceutical Sciences,2322-1232,6-Apr-17,Inactive (has not published in the last calendar year)
Journal of International Oral Health,0976-1799,5-Apr-17,Journal not adhering to Best practice
Journal of Conflict Transformation & Security,2045-1903,4-Apr-17,Journal not adhering to Best practice
Andhra Pradesh Journal of Psychological Medicine,2249-5851,4-Apr-17,Journal not adhering to Best practice
AJIT-e : Online Academic Journal of Information Technology,1309-1581,4-Apr-17,Journal not adhering to Best practice
Marmara Pharmaceutical Journal,1309-0801,4-Apr-17,Journal not adhering to Best practice
Indonesian Journal of Pharmacy,0126-1037,4-Apr-17,Journal not adhering to Best practice
Internet Journal of Rheumatology and Clinical Immunology,2320-7221,22-Mar-17,Suspected editorial misconduct by publisher
Veritas : Revista de FilosofÃ_a y TeologÃ_a,0717-4675,3-Apr-17,Journal not adhering to Best practice
European Diversity and Autonomy Papers - EDAP,1827-8361,3-Apr-17,Inactive (has not published in the last calendar year)
"Heart, Lung and Vessel",2037-0512,3-Apr-17,Ceased publishing
Palinsesti : Contemporary Italian Art On-line Journal,2279-7882,3-Apr-17,Journal not adhering to Best practice
"VEGA : Periodico Elettronico di Cultura, Didattica e Formazione",1826-0128,3-Apr-17,Inactive (has not published in the last calendar year)
QTimes Webmagazine,2038-3282,3-Apr-17,No license nor OA statement
Philomusica,1826-9001,3-Apr-17,Journal not adhering to Best practice
 E-Beratungsjournal,1816-7632,3-Apr-17,Journal not adhering to Best practice
Technology Innovations in Statistics Education,1933-4214,3-Apr-17,Not enough articles published
Littera Antiqua,2082-9264,3-Apr-17,Journal not adhering to Best practice
Theoretical and Applied Informatics,1896-5334,3-Apr-17,Not enough articles published
Holos Environment,1519-8634,3-Apr-17,Journal not adhering to Best practice
Terra Brasilis,1519-1265,3-Apr-17,No license
Communication & Language at Work,2245-5744,3-Apr-17,Journal not adhering to Best practice
Acta Geophysica,1895-7455,3-Apr-17,Journal is no longer Open Access
